GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022401210,166,3,11,1,8:38 PM,0:00,,,Reaves Free Throw 1 of 2 (1 PTS),22 - 32,10,5,1630559,Austin Reaves,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,167,3,12,1,8:38 PM,0:00,,,Reaves Free Throw 2 of 2 (2 PTS),23 - 32,9,5,1630559,Austin Reaves,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,168,13,0,1,8:38 PM,0:00,,End of 1st Period (8:38 PM EST),,23 - 32,9,0,0,,,,,,0,0,,,,,,0,0,,,,,,1
0022401210,173,12,0,2,8:41 PM,12:00,,Start of 2nd Period (8:41 PM EST),,23 - 32,9,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022401210,174,5,1,2,8:41 PM,11:51,Gobert STEAL (1 STL),,Christie Bad Pass Turnover (P2.T12),,,5,1631108,Max Christie,1610612747.0,Los Angeles,Lakers,LAL,4,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1
0022401210,176,2,2,2,8:41 PM,11:46,MISS Conley 3PT Running Jump Shot,,,,,4,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
0022401210,177,4,0,2,8:41 PM,11:42,,,Knecht REBOUND (Off:1 Def:2),,,5,1642261,Dalton Knecht,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,178,2,1,2,8:41 PM,11:31,,,MISS Reaves 25' 3PT Jump Shot,,,5,1630559,Austin Reaves,1610612747.0,Los Angeles,Lakers,LAL,0,0,,,,,,0,0,,,,,,1
0022401210,179,4,0,2,8:41 PM,11:28,DiVincenzo REBOUND (Off:0 Def:1),,,,,4,1628978,Donte DiVincenzo,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
0022401210,180,2,6,2,8:41 PM,11:20,MISS Alexander-Walker 3' Driving Layup,,,,,4,1629638,Nickeil Alexander-Walker,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
