SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400609,2025-01-21T00:00:00,DEN vs. PHI,W,30.35,10,15,0.667,2,3,0.667,5,5,1.0,5,8,13,10,2,4,1,1,1,5,27,21,70.6,1,1,62.0,1,1,1,1,63,41,53,18,24,38,10,29,39,1,7,46,33,27,44,2,11,29,8,36,39,16,20,1,1,26,1,30:21
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400593,2025-01-19T00:00:00,DEN @ ORL,W,30.116666666666667,7,9,0.778,0,0,0.0,6,7,0.857,1,13,14,10,2,3,3,1,0,5,20,20,67.8,1,1,56.0,1,1,1,1,64,61,67,4,59,69,59,24,25,25,55,10,22,27,44,8,1,29,1,36,58,17,23,1,1,42,1,30:07
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400579,2025-01-17T00:00:00,DEN @ MIA,W,30.611666666666668,9,12,0.75,1,2,0.5,5,5,1.0,2,10,12,10,2,1,0,0,1,3,24,6,54.4,1,1,49.0,1,1,1,1,62,46,63,6,42,53,24,29,39,1,39,31,40,27,44,40,34,1,8,55,51,39,55,1,1,56,1,30:37
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400559,2025-01-14T00:00:00,DEN @ DAL,W,28.933333333333334,4,7,0.571,1,2,0.5,1,2,0.5,2,12,14,10,1,2,0,0,3,4,10,23,46.8,1,1,39.0,1,1,1,1,69,69,69,36,42,53,24,63,60,60,39,16,22,27,58,19,34,1,40,49,70,12,62,1,1,66,1,28:56
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400540,2025-01-12T00:00:00,DEN @ DAL,W,38.63333333333333,6,13,0.462,0,2,0.0,7,9,0.778,4,14,18,9,4,3,0,1,4,10,19,-2,59.1,1,0,52.0,1,1,1,1,22,63,57,58,59,53,59,18,14,39,14,7,6,41,20,8,34,29,59,6,63,54,49,1,35,53,1,38:38
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400531,2025-01-10T00:00:00,DEN vs. BKN,W,38.18333333333333,14,21,0.667,1,1,1.0,6,8,0.75,5,7,12,15,1,4,0,1,1,6,35,33,82.9,1,1,71.0,1,1,1,1,28,14,23,18,42,63,1,24,18,41,7,52,40,7,58,2,34,29,8,24,17,3,8,1,1,11,1,38:11
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400484,2025-01-04T00:00:00,DEN @ SAS,W,43.31666666666667,19,35,0.543,3,8,0.375,5,6,0.833,4,5,9,10,2,2,2,1,3,7,46,7,81.8,1,0,76.0,1,1,1,1,4,2,3,44,9,9,40,29,32,28,14,66,54,27,44,19,3,29,40,17,4,36,10,1,35,9,1,43:19
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400475,2025-01-03T00:00:00,DEN vs. SAS,L,36.64833333333333,15,36,0.417,3,10,0.3,8,9,0.889,4,14,18,9,2,2,0,2,3,8,41,7,80.1,1,0,75.0,1,47,47,47,42,9,2,67,9,6,46,11,14,21,14,7,6,41,44,19,34,57,40,10,5,36,11,1,35,10,1,36:39
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400461,2025-01-01T00:00:00,DEN vs. ATL,W,29.516666666666666,8,16,0.5,1,1,1.0,6,6,1.0,3,14,17,15,2,0,1,1,2,5,23,31,66.9,1,1,58.0,1,1,1,1,68,56,46,50,42,63,1,24,32,1,22,7,11,7,44,63,11,29,22,36,53,5,26,1,1,37,1,29:31
2024-25,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0022400445,2024-12-30T00:00:00,DEN @ UTA,W,38.3,14,33,0.424,3,9,0.333,5,6,0.833,7,15,22,11,2,4,0,2,0,6,36,20,88.9,1,1,80.0,1,1,1,1,24,14,4,65,9,8,41,29,32,28,2,6,1,22,44,2,34,57,1,24,16,17,4,1,1,5,1,38:18
