GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT
-201143-201950-204001-1628369-1628401-,A. Horford - J. Holiday - K. Porziņģis - J. Tatum - D. White,1610612738,BOS,56.2,107.3,99.2,8.0,107.19,0.548,0.168,0.729,0.416,0.584,0.03,0.09,0.12,0.376,0.729,0.271,0.319,0.487,0.184,0.11
-204456-1627783-1628418-1641716-1641767-,T. McConnell - P. Siakam - T. Bryant - J. Walker - B. Sheppard,1610612754,IND,56.0,119.3,116.1,3.2,96.94,0.622,0.21,0.66,0.65,0.35,0.147,0.074,0.125,0.441,0.66,0.34,0.425,0.571,0.263,0.116
-1627777-1629027-1630168-1630700-1642258-,G. Niang - T. Young - O. Okongwu - D. Daniels - Z. Risacher,1610612737,ATL,55.8,119.0,109.5,9.5,108.32,0.603,0.083,0.644,0.558,0.442,0.067,0.147,0.053,0.4,0.644,0.356,0.429,0.591,0.242,0.167
-202699-1627736-1630595-1631105-1641709-,T. Harris - M. Beasley - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,55.7,105.1,126.4,-21.3,102.53,0.578,0.172,0.52,0.717,0.283,0.033,0.114,0.106,0.618,0.52,0.48,0.378,0.635,0.34,0.157
-1626179-1629639-1631107-1631170-1642276-,T. Rozier - T. Herro - N. Jović - J. Jaquez Jr. - K. Ware,1610612748,MIA,55.5,109.1,130.6,-21.5,104.72,0.549,0.123,0.731,0.605,0.395,0.03,0.22,0.098,0.53,0.731,0.269,0.453,0.616,0.241,0.091
-201935-202695-203992-1627739-1627826-,J. Harden - K. Leonard - B. Bogdanović - K. Dunn - I. Zubac,1610612746,LAC,55.2,123.4,106.3,17.2,96.87,0.628,0.157,0.673,0.598,0.402,0.044,0.139,0.109,0.584,0.673,0.327,0.389,0.548,0.28,0.161
-202696-203897-1630245-1630581-1641763-,N. Vučević - Z. LaVine - A. Dosunmu - J. Giddey - J. Phillips,1610612741,CHI,55.1,118.9,109.8,9.1,106.67,0.722,0.292,0.66,0.573,0.427,0.069,0.124,0.124,0.372,0.66,0.34,0.273,0.517,0.191,0.065
-1627751-1629628-1630534-1630558-1630567-,J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - S. Barnes,1610612761,TOR,54.9,110.0,84.2,25.8,102.36,0.618,0.284,0.72,0.684,0.316,0.03,0.136,0.152,0.545,0.72,0.28,0.277,0.437,0.2,0.158
-203114-1629673-1630551-1642259-1642273-,K. Middleton - J. Poole - J. Champagnie - A. Sarr - K. George,1610612764,WAS,54.8,100.8,128.6,-27.7,103.73,0.516,0.178,0.667,0.458,0.542,0.034,0.185,0.118,0.319,0.667,0.333,0.413,0.584,0.143,0.109
-1629640-1630572-1630577-1631104-1642264-,K. Johnson - S. Mamukelashvili - J. Champagnie - B. Wesley - S. Castle,1610612759,SAS,54.6,93.3,134.2,-40.8,105.5,0.493,0.31,0.632,0.55,0.45,0.0,0.098,0.188,0.411,0.632,0.368,0.436,0.636,0.218,0.125
