gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022401210,328,PT01M04.00S,2,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,247
0022401210,329,PT01M00.00S,2,1610612750,MIN,203944,Randle,J. Randle,-225,74,24,Missed,1,,,0,h,MISS Randle 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,248
0022401210,330,PT00M58.70S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Unknown,0,0,249
0022401210,332,PT00M46.40S,2,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle S.FOUL (P3.PN) (M.Davis),Foul,Shooting,1,0,250
0022401210,334,PT00M46.40S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,50,41,91,v,Davis Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,1,0,251
0022401210,335,PT00M46.40S,2,1610612750,MIN,203944,Randle,J. Randle,0,0,0,,0,,,0,h,SUB: Gobert FOR Randle,Substitution,,0,0,252
0022401210,336,PT00M46.40S,2,1610612747,LAL,1642261,Knecht,D. Knecht,0,0,0,,0,,,0,v,SUB: Christie FOR Knecht,Substitution,,0,0,253
0022401210,339,PT00M46.40S,2,1610612747,LAL,203076,Davis,A. Davis,0,0,0,,0,,,0,v,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,254
0022401210,340,PT00M44.70S,2,1610612747,LAL,1629629,Reddish,C. Reddish,0,0,0,,0,,,0,v,Reddish REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,255
0022401210,341,PT00M34.70S,2,1610612747,LAL,1630559,Reaves,A. Reaves,203,144,25,Made,1,50,44,94,v,Reaves 25' 3PT Jump Shot (9 PTS) (Christie 2 AST),Made Shot,Jump Shot,1,3,256
0022401210,343,PT00M10.70S,2,1610612750,MIN,1630162,Edwards,A. Edwards,-163,177,24,Missed,1,,,0,h,MISS Edwards 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,257
0022401210,344,PT00M08.00S,2,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,v,Christie REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,258
0022401210,345,PT00M00.80S,2,1610612747,LAL,1629629,Reddish,C. Reddish,-71,242,25,Missed,1,,,0,v,MISS Reddish 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,259
0022401210,346,PT00M00.80S,2,0,,1610612747,,,0,0,0,,0,,,0,v,Lakers Rebound,Rebound,Unknown,0,0,260
0022401210,347,PT00M00.00S,2,0,,0,,,0,0,0,,0,50,44,94,,End of 2nd Period (9:07 PM EST),period,end,1,0,261
0022401210,354,PT12M00.00S,3,0,,0,,,0,0,0,,0,50,44,94,,Start of 3rd Period (9:22 PM EST),period,start,0,0,262
0022401210,355,PT11M42.00S,3,1610612747,LAL,1630559,Reaves,A. Reaves,147,201,25,Made,1,50,47,97,v,Reaves 25' 3PT Pullup Jump Shot (12 PTS),Made Shot,Pullup Jump shot,1,3,263
