GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2021-05-07,UTA,0,1,0,10.924242424242424,11.666666666666666,10.6,10.6,13.0,50.666666666666664,116.27906976744184,0.4085,0,2.0,0,1,10.555555555555555,9
2021-05-08,BKN,1,1,0,10.8955223880597,10.0,11.0,10.0,8.0,47.666666666666664,109.11301676692692,0.4340555555555555,1,1.0,0,1,10.473684210526317,7
2021-05-11,CHA,0,1,1,10.838235294117649,9.333333333333334,10.2,9.8,10.0,47.333333333333336,105.9674734280958,0.4338333333333333,0,3.0,1,1,10.3,11
2021-05-13,MIN,0,1,1,10.840579710144928,9.0,9.6,10.3,13.5,47.333333333333336,111.49068322981368,0.4472222222222222,0,2.0,1,1,10.333333333333334,14
2021-05-14,DET,0,1,1,10.885714285714286,10.666666666666666,10.6,10.9,8.0,42.333333333333336,99.28514694201748,0.4196666666666667,0,1.0,1,1,10.5,15
2021-05-16,POR,0,1,0,10.943661971830986,13.333333333333334,11.2,10.9,7.0,39.666666666666664,120.74716477651768,0.4163888888888889,0,2.0,0,1,10.695652173913045,3
2021-05-22,POR,1,0,0,10.833333333333334,10.666666666666666,10.0,10.5,5.666666666666667,41.0,119.65927528393726,0.4108888888888888,1,6.0,0,0,,16
2021-05-24,POR,1,0,1,10.904109589041097,11.333333333333334,11.8,11.0,8.25,41.0,125.37071987058506,0.4121111111111111,1,2.0,1,0,,8
2021-05-27,POR,0,0,1,10.864864864864863,9.0,11.2,10.4,8.2,43.333333333333336,124.60632616732848,0.4057222222222222,0,3.0,1,0,,11
2021-05-29,POR,0,0,0,10.866666666666667,11.666666666666666,10.6,10.6,8.666666666666666,41.333333333333336,119.49035812672176,0.4033333333333333,0,2.0,0,0,,9
2021-06-01,POR,1,0,1,10.842105263157896,9.333333333333334,9.4,10.3,8.714285714285714,43.0,116.0799890425969,0.4056111111111111,1,3.0,1,0,,11
2021-06-03,POR,0,0,1,10.844155844155845,10.333333333333334,11.0,10.5,9.0,44.666666666666664,117.28160263725115,0.4097142857142857,0,2.0,1,0,,8
2021-06-07,PHX,0,0,0,10.807692307692308,9.333333333333334,9.4,10.6,13.666666666666666,46.0,114.62119094213026,0.3974444444444444,0,4.0,0,0,,9
2021-06-09,PHX,0,0,0,10.78481012658228,9.333333333333334,9.6,10.4,12.5,44.333333333333336,121.64604476574448,0.3996111111111111,0,2.0,0,0,,13
2021-06-11,PHX,1,0,0,10.8125,10.0,10.0,10.3,12.6,46.0,126.0740949429497,0.3943888888888889,1,2.0,0,0,,20
2021-06-13,PHX,1,0,0,10.925925925925926,14.0,12.2,10.8,13.833333333333334,44.666666666666664,122.33970448691878,0.4098333333333334,1,2.0,0,0,,11
2021-10-22,SAS,1,1,1,13.0,,,,10.666666666666666,43.0,121.87871581450652,0.4205,1,2.0,1,1,10.48,16
2021-10-25,CLE,1,1,0,14.5,,,,9.0,42.0,108.93672537508152,0.4258333333333333,1,3.0,0,1,10.692307692307692,19
2021-10-26,UTA,0,1,0,16.0,16.0,,,11.666666666666666,52.0,108.6521129581414,0.4160833333333333,0,1.0,0,1,11.0,6
2021-10-29,DAL,1,1,1,13.5,13.666666666666666,,,10.0,48.333333333333336,108.88619201726,0.412,1,3.0,1,1,10.821428571428571,16
2021-10-30,MIN,0,1,1,14.0,13.666666666666666,14.0,,13.666666666666666,45.666666666666664,97.84548699643038,0.4357777777777778,0,1.0,1,1,11.0,19
