GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_AST,ROLL_3_AST,ROLL_5_AST,ROLL_10_AST,HEAD2HEAD_AVG_AST,SEASON_AVG_MIN,SEASON_AVG_FG_PCT,OPP_AST,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_AST_MURRAY_OUT,AST
2021-12-01,ORL,0,1,0,6.4,6.666666666666667,7.8,7.0,13.0,32.4,0.6121333333333333,19.666666666666668,91.62129863231976,0.4183888888888888,0,2.0,0,1,7.435897435897436,7
2021-12-04,NYK,0,1,1,6.4375,7.0,7.2,7.0,5.5,32.625,0.596875,23.666666666666668,111.81348558999456,0.4086666666666667,0,3.0,1,1,7.425,5
2021-12-06,CHI,0,1,0,6.352941176470588,6.333333333333333,6.4,6.8,9.0,32.294117647058826,0.6051176470588235,27.0,120.00793440888654,0.4201111111111111,0,2.0,0,1,7.365853658536586,15
2021-12-08,NOP,0,1,1,6.833333333333333,9.0,8.2,7.8,9.0,32.5,0.5911111111111111,21.333333333333332,119.44646758922067,0.3813888888888889,0,2.0,1,1,7.547619047619048,11
2021-12-09,SAS,0,1,0,7.052631578947368,10.333333333333334,9.0,8.7,9.0,32.73684210526316,0.5988947368421054,28.333333333333332,107.43091365860109,0.4201666666666666,0,1.0,0,1,7.627906976744186,10
2021-12-11,SAS,0,1,1,7.2,12.0,9.6,8.7,9.2,32.85,0.5900000000000001,31.0,111.31725417439704,0.4192222222222222,0,2.0,1,1,7.681818181818182,8
2021-12-13,WAS,1,1,1,7.238095238095238,9.666666666666666,9.8,8.5,8.0,32.904761904761905,0.5916666666666667,23.0,110.57757338022454,0.3969395973154362,1,2.0,1,1,7.688888888888889,9
2021-12-15,MIN,1,1,0,7.318181818181818,9.0,10.6,8.5,7.25,32.81818181818182,0.5940000000000001,22.0,100.96630327056492,0.4484444444444444,1,2.0,0,1,7.717391304347826,11
2021-12-17,ATL,0,1,1,7.478260869565218,9.333333333333334,9.8,9.0,8.0,32.91304347826087,0.5980869565217393,22.0,112.4112542729424,0.4225555555555555,0,2.0,1,1,7.787234042553192,7
2021-12-22,OKC,0,1,0,7.458333333333333,9.0,9.0,9.0,9.333333333333334,32.625,0.6009583333333334,23.0,106.36865490776891,0.4126111111111111,0,5.0,0,1,7.770833333333333,3
2021-12-23,CHA,1,1,0,7.28,7.0,7.6,8.6,8.0,32.32,0.5991599999999999,27.333333333333332,101.82275298554369,0.4419444444444445,1,1.0,0,1,7.673469387755102,5
2021-12-26,LAC,0,1,1,7.1923076923076925,5.0,7.0,8.4,8.0,32.42307692307692,0.5908076923076923,25.333333333333332,105.91860315830016,0.4327222222222222,0,3.0,1,1,7.62,8
2021-12-28,GSW,0,1,1,7.222222222222222,5.333333333333333,6.8,8.7,8.0,32.629629629629626,0.5828148148148148,28.666666666666668,118.28998339789706,0.4015555555555555,0,2.0,1,1,7.627450980392157,5
2022-01-01,HOU,0,1,1,7.142857142857143,6.0,5.6,7.7,9.75,32.714285714285715,0.5770357142857143,21.666666666666668,106.95876288659797,0.4311111111111111,0,4.0,1,1,7.576923076923077,3
2022-01-03,DAL,0,1,0,7.0,5.333333333333333,4.8,6.9,6.6,32.44827586206897,0.5801379310344829,27.0,107.70001431229426,0.3881666666666666,0,2.0,0,1,7.490566037735849,3
2022-01-05,UTA,1,1,0,6.866666666666666,3.6666666666666665,4.8,6.2,8.25,32.53333333333333,0.5811666666666667,19.666666666666668,116.28677445003976,0.4192222222222222,1,2.0,0,1,7.407407407407407,11
