TEAM,level_1,PTS,REB,AST,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,TOV,MIN,DATE,DEF_RATING,PACE
New,1900,108.0,42.666666666666664,22.666666666666668,92.33333333333333,40.333333333333336,0.4376666666666667,36.0,11.333333333333334,0.30100000000000005,20.0,16.0,0.7936666666666667,15.333333333333334,13.0,240.0,"JAN 10, 2025",109.31174089068826,0.4116666666666667
New,467,121.33333333333333,45.333333333333336,26.0,91.66666666666667,44.0,0.4830000000000001,37.333333333333336,13.333333333333334,0.33933333333333343,24.333333333333332,20.0,0.8290000000000001,12.666666666666666,11.0,240.0,"JAN 12, 2025",120.48192771084337,0.4196111111111111
New,1901,127.33333333333333,45.0,28.0,88.33333333333333,45.0,0.5096666666666668,39.333333333333336,17.666666666666668,0.4493333333333334,25.333333333333332,19.666666666666668,0.7776666666666667,9.333333333333334,10.666666666666666,240.0,"JAN 12, 2025",126.30604417405104,0.42005555555555557
New,468,126.0,44.333333333333336,26.333333333333332,84.66666666666667,43.666666666666664,0.5150000000000001,38.333333333333336,16.666666666666668,0.4343333333333334,26.333333333333332,22.0,0.8356666666666667,8.666666666666666,12.333333333333334,240.0,"JAN 13, 2025",126.10088070456366,0.4163333333333333
New,1902,119.0,43.333333333333336,27.333333333333332,87.33333333333333,40.666666666666664,0.46766666666666673,41.333333333333336,15.333333333333334,0.38133333333333336,27.0,22.333333333333332,0.8273333333333334,9.666666666666666,12.0,240.0,"JAN 14, 2025",117.18750000000001,0.42311111111111105
New,469,121.0,44.333333333333336,28.666666666666668,87.33333333333333,42.666666666666664,0.4910000000000001,41.333333333333336,15.0,0.3723333333333334,26.333333333333332,20.666666666666668,0.7813333333333334,12.666666666666666,13.333333333333334,248.33333333333334,"JAN 15, 2025",121.50220913107513,0.40102013422818783
New,1903,121.0,46.666666666666664,28.0,93.0,43.666666666666664,0.47200000000000003,42.0,14.333333333333334,0.3483333333333334,24.666666666666668,19.333333333333332,0.783,14.333333333333334,11.0,248.33333333333334,"JAN 15, 2025",120.37405491444487,0.40477852348993293
New,470,114.33333333333333,45.0,23.666666666666668,91.0,41.333333333333336,0.4556666666666667,36.666666666666664,14.333333333333334,0.39233333333333337,21.666666666666668,17.333333333333332,0.8076666666666666,15.0,10.666666666666666,248.33333333333334,"JAN 17, 2025",118.84961884961884,0.38738255033557045
New,1904,118.0,48.666666666666664,25.666666666666668,95.66666666666667,41.666666666666664,0.4340000000000001,41.0,16.333333333333332,0.395,24.0,18.333333333333332,0.7866666666666667,17.0,10.666666666666666,240.0,"JAN 17, 2025",118.12600106780565,0.41622222222222227
New,471,118.0,45.333333333333336,28.0,93.33333333333333,43.0,0.4603333333333334,36.666666666666664,15.0,0.3993333333333333,23.0,17.0,0.763,16.0,12.333333333333334,240.0,"JAN 20, 2025",118.25227151256013,0.41577777777777775
